"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.unionknoxville.com/","1","Union Knoxville provides apartments for rent in the Knoxville, TN area. Discover floor plan options, photos, amenities, and our great location.","143","860","",""
"https://www.unionknoxville.com/cdn-cgi/l/email-protection","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/amenities/","1","Consider the 9 community and 8 apartments amenities at Union Knoxville. Explore the luxury features at our Knoxville apartments near campus.","140","886","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/map-and-directions/","1","Union Knoxville is located in Knoxville, TN. Explore the area on our interactive map to get to know the area near The University of Tennessee, Knoxville.","153","918","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/faqs/","1","Find out answers to frequently asked questions about Union Knoxville.","69","434","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/photos/","1","Envision living at Union Knoxville. Browse 32 photos of our apartment community in Knoxville, TN, near UTK. Apply online today!","127","786","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/guest-card/contact-us/1/","1","Have questions? Send a message to Union Knoxville Apartments so our team can answer them. We look forward to hearing from you!","126","821","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/student/","1","Union Knoxville Apartment rentals offers a range of spacious floor plans including studio, 1, 2, 3, 4, & 5 bedroom apartments near campus.","138","850","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/action/search_password/","1","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","E1 is a 5 bedroom apartment layout option at Union Knoxville.This 1,488.00 sqft floor plan starts at $1,575.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","B3 is a 2 bedroom apartment layout option at Union Knoxville.This 985.00 sqft floor plan starts at $1,600.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D3 is a 4 bedroom apartment layout option at Union Knoxville.This 1,248.00 sqft floor plan starts at $1,565.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/","1","Union Knoxville Apartment rentals offers a range of spacious floor plans including studio, 1, 2, 3, 4, & 5 bedroom apartments near campus.","138","850","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","A1 is a 1 bedroom apartment layout option at Union Knoxville.This 504.00 sqft floor plan starts at $1,840.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","E1 is a 5 bedroom apartment layout option at Union Knoxville.This 1,488.00 sqft floor plan starts at $1,575.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D2 is a 4 bedroom apartment layout option at Union Knoxville.This 1,347.00 sqft floor plan starts at $1,555.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D2 is a 4 bedroom apartment layout option at Union Knoxville.This 1,347.00 sqft floor plan starts at $1,555.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","B3 is a 2 bedroom apartment layout option at Union Knoxville.This 985.00 sqft floor plan starts at $1,600.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","S1 is a Studio apartment layout option at Union Knoxville.This 434.00 sqft floor plan starts at $1,665.00 per month.","116","710","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202//lease_start_window%5Bid%5D/7242/","1","B1 is a 2 bedroom apartment layout option at Union Knoxville.This 768.00 sqft floor plan starts at $1,585.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D3 is a 4 bedroom apartment layout option at Union Knoxville.This 1,248.00 sqft floor plan starts at $1,565.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D1 is a 4 bedroom apartment layout option at Union Knoxville.This 1,221.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1585/desired_rent_max/1585","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1665/desired_rent_max/1665","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","S1 is a Studio apartment layout option at Union Knoxville.This 434.00 sqft floor plan starts at $1,665.00 per month.","116","710","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987651/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1600/desired_rent_max/1600","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987657/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1585/desired_rent_max/1585","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D1 is a 4 bedroom apartment layout option at Union Knoxville.This 1,221.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D1 is a 4 bedroom apartment layout option at Union Knoxville.This 1,221.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987655/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1555/desired_rent_max/1555","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D5 is a 4 bedroom apartment layout option at Union Knoxville.This 1,230.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987654/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1585/desired_rent_max/1585","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","A1 is a 1 bedroom apartment layout option at Union Knoxville.This 504.00 sqft floor plan starts at $1,840.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D2 is a 4 bedroom apartment layout option at Union Knoxville.This 1,347.00 sqft floor plan starts at $1,555.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","A1 is a 1 bedroom apartment layout option at Union Knoxville.This 504.00 sqft floor plan starts at $1,840.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/354/","1","E3A is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,635.00 per month.","122","757","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354//lease_start_window%5Bid%5D/7242/","1","E3A is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,635.00 per month.","122","757","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/202/","1","B1 is a 2 bedroom apartment layout option at Union Knoxville.This 768.00 sqft floor plan starts at $1,585.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D5 is a 4 bedroom apartment layout option at Union Knoxville.This 1,230.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354/lease_start_window%5Bid%5D/7242/","1","E3A is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,635.00 per month.","122","757","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353/lease_start_window%5Bid%5D/7242/","1","E2 is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,610.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","S1 is a Studio apartment layout option at Union Knoxville.This 434.00 sqft floor plan starts at $1,665.00 per month.","116","710","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D5 is a 4 bedroom apartment layout option at Union Knoxville.This 1,230.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1610/desired_rent_max/1610","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987651/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1575/desired_rent_max/1575","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353//lease_start_window%5Bid%5D/7242/","1","E2 is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,610.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","E1 is a 5 bedroom apartment layout option at Union Knoxville.This 1,488.00 sqft floor plan starts at $1,575.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/353/","1","E2 is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,610.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987655/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","B3 is a 2 bedroom apartment layout option at Union Knoxville.This 985.00 sqft floor plan starts at $1,600.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","0","","0","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987656/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1565/desired_rent_max/1565","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202/lease_start_window%5Bid%5D/7242/","1","B1 is a 2 bedroom apartment layout option at Union Knoxville.This 768.00 sqft floor plan starts at $1,585.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D3 is a 4 bedroom apartment layout option at Union Knoxville.This 1,248.00 sqft floor plan starts at $1,565.00 per month.","121","749","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987647/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1840/desired_rent_max/1840","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987663/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/354/desired_rent_min/1635/desired_rent_max/1635","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/","1","D5 is a 4 bedroom apartment layout option at Union Knoxville.This 1,230.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/student/lease_term_id/9257/","1","Union Knoxville Apartment rentals offers a range of spacious floor plans including studio, 1, 2, 3, 4, & 5 bedroom apartments near campus.","138","850","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987657/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,585/desired_rent_max/1,585","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/","1","D1 is a 4 bedroom apartment layout option at Union Knoxville.This 1,221.00 sqft floor plan starts at $1,585.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/","1","B1 is a 2 bedroom apartment layout option at Union Knoxville.This 768.00 sqft floor plan starts at $1,585.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/","1","E3A is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,635.00 per month.","122","757","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/","1","E1 is a 5 bedroom apartment layout option at Union Knoxville.This 1,488.00 sqft floor plan starts at $1,575.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/","1","B3 is a 2 bedroom apartment layout option at Union Knoxville.This 985.00 sqft floor plan starts at $1,600.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/","1","E2 is a 5 bedroom apartment layout option at Union Knoxville.This 1,636.00 sqft floor plan starts at $1,610.00 per month.","121","748","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/","1","S1 is a Studio apartment layout option at Union Knoxville.This 434.00 sqft floor plan starts at $1,665.00 per month.","116","710","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/","1","D3 is a 4 bedroom apartment layout option at Union Knoxville.This 1,248.00 sqft floor plan starts at $1,565.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/","1","A1 is a 1 bedroom apartment layout option at Union Knoxville.This 504.00 sqft floor plan starts at $1,840.00 per month.","119","738","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/","1","D2 is a 4 bedroom apartment layout option at Union Knoxville.This 1,347.00 sqft floor plan starts at $1,555.00 per month.","121","749","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987662/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987655/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987664/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987663/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/354/desired_rent_min/1,635/desired_rent_max/1,635","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,665/desired_rent_max/1,665","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987655/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,555/desired_rent_max/1,555","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1,610/desired_rent_max/1,610","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987647/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,840/desired_rent_max/1,840","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987656/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,565/desired_rent_max/1,565","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1,585/desired_rent_max/1,585","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,575/desired_rent_max/1,575","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987651/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,600/desired_rent_max/1,600","1","Apply online to live at Union Knoxville. Simply create an account with your information to get started at our student housing in Knoxville.","139","834","",""
